n,S,rep,eps,order,rank,top1,top3,top5,top10,top20,original_tree_mass,hybrid_leakage,ml_true,ensemble_eff
20,200,2,0.15,2,1,True,True,True,True,True,0.7997080834701925,0.2002919165298075,0,3.184879984711049
20,200,3,0.15,0,1,True,True,True,True,True,0.7836117525323132,0.2163882474676868,1,3.425868018476921
20,200,3,0.15,1,1,True,True,True,True,True,0.8017783337914676,0.1982216662085324,1,3.425868018476921
20,200,3,0.15,2,1,True,True,True,True,True,0.8338350025846358,0.1661649974153641,1,3.425868018476921
20,200,4,0.15,0,1,True,True,True,True,True,0.7526206013226727,0.2473793986773272,1,1.7802461320056906
20,200,4,0.15,1,1,True,True,True,True,True,0.8105323109816569,0.1894676890183431,1,1.7802461320056906
20,200,4,0.15,2,1,True,True,True,True,True,0.8297216654350038,0.1702783345649962,1,1.7802461320056906
20,1000,0,0.15,0,1,True,True,True,True,True,0.7721007000173498,0.2278992999826502,1,1.384180962604442
20,1000,0,0.15,1,1,True,True,True,True,True,0.8160361943129889,0.1839638056870111,1,1.384180962604442
20,1000,0,0.15,2,1,True,True,True,True,True,0.8164376097358597,0.1835623902641403,1,1.384180962604442
20,1000,1,0.15,0,1,True,True,True,True,True,0.7379129502534266,0.2620870497465734,1,1.382290793897513
20,1000,1,0.15,1,1,True,True,True,True,True,0.7872982139814078,0.2127017860185922,1,1.382290793897513
20,1000,1,0.15,2,1,True,True,True,True,True,0.7976237577069147,0.2023762422930852,1,1.382290793897513
20,1000,2,0.15,0,1,True,True,True,True,True,0.7159276986171786,0.2840723013828213,1,1.382353973704382
20,1000,2,0.15,1,1,True,True,True,True,True,0.7648567466840399,0.2351432533159601,1,1.382353973704382
20,1000,2,0.15,2,1,True,True,True,True,True,0.7913932719580847,0.2086067280419152,1,1.382353973704382
20,1000,3,0.15,0,1,True,True,True,True,True,0.7948950288094311,0.2051049711905689,1,1.3822894199495477
20,1000,3,0.15,1,1,True,True,True,True,True,0.8503527016764653,0.1496472983235347,1,1.3822894199495477
20,1000,3,0.15,2,1,True,True,True,True,True,0.8569740925237822,0.1430259074762178,1,1.3822894199495477
20,1000,4,0.15,0,1,True,True,True,True,True,0.8162484476478049,0.1837515523521951,1,1.3822936624221542
20,1000,4,0.15,1,1,True,True,True,True,True,0.8649427090283971,0.1350572909716029,1,1.3822936624221542
20,1000,4,0.15,2,1,True,True,True,True,True,0.8706668525917073,0.1293331474082927,1,1.3822936624221542
50,50,0,0.15,0,2,False,True,True,True,True,0.3961424550021307,0.6038575449978694,0,4.886476566988745
50,50,0,0.15,1,2,False,True,True,True,True,0.4794036829524986,0.5205963170475014,0,4.886476566988745
50,50,0,0.15,2,2,False,True,True,True,True,0.5029120414251584,0.4970879585748415,0,4.886476566988745
50,50,1,0.15,0,2,False,True,True,True,True,0.4222061407288759,0.577793859271124,0,10.03021334592925
50,50,1,0.15,1,2,False,True,True,True,True,0.4783612624242278,0.5216387375757722,0,10.03021334592925
50,50,1,0.15,2,2,False,True,True,True,True,0.4924613531285356,0.5075386468714644,0,10.03021334592925
50,50,2,0.15,0,1,True,True,True,True,True,0.4320076027378713,0.5679923972621286,1,9.546432405021264
